2022-12-05 17:10:20 INFO  Log:10 - ===================================== TEST START=========================================
2022-12-05 17:10:24 INFO  Log:22 - Verfying the title of the Page
2022-12-05 17:10:24 INFO  Log:10 - =====================================verifyPageHeader TEST START=========================================
2022-12-05 17:10:24 INFO  Log:22 - -------SEARCHBOX FUNCTIONALITY START ------
2022-12-05 17:10:24 INFO  Log:22 - -------SEARCHBOX FUNCTIONALITY END ------
2022-12-05 17:10:24 INFO  Log:22 - -------CARTButton FUNCTIONALITY START ------
2022-12-05 17:10:24 INFO  Log:22 - -------CARTButton FUNCTIONALITY END ------
2022-12-05 17:10:24 INFO  Log:22 - -------userButton FUNCTIONALITY START ------
2022-12-05 17:10:24 INFO  Log:22 - -------userButton FUNCTIONALITY END ------
2022-12-05 17:10:24 INFO  Log:22 - -------Logo FUNCTIONALITY START ------
2022-12-05 17:10:24 INFO  Log:22 - -------Logo FUNCTIONALITY END ------
2022-12-05 17:10:24 INFO  Log:15 - =====================================verifyPageHeader TEST END=========================================
2022-12-05 17:10:24 INFO  Log:22 - Author Name Verification
2022-12-05 17:10:25 INFO  Log:22 - Verfying the Category List
2022-12-05 17:10:25 INFO  Log:22 - -----Veryfying the blog title--------
2022-12-05 17:10:25 INFO  Log:22 - ------vERYFYING THE INGREDIENTS LIST--------
